"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","9,513.43","9,423.23","9,527.75","9,422.17","176.25M","0.96%"
"06/19/2025","9,423.23","9,494.33","9,502.61","9,389.07","242.71M","-0.77%"
"06/18/2025","9,496.26","9,538.29","9,554.13","9,491.25","222.05M","-0.42%"
"06/17/2025","9,536.38","9,584.85","9,603.25","9,531.82","255.79M","-0.51%"
"06/16/2025","9,584.85","9,564.01","9,606.17","9,554.23","270.37M","0.22%"
"06/13/2025","9,564.01","9,693.79","9,693.79","9,441.48","392.44M","-1.34%"
"06/12/2025","9,693.79","9,804.80","9,804.80","9,676.12","321.38M","-1.13%"
"06/11/2025","9,804.80","9,796.16","9,827.38","9,789.33","327.43M","0.09%"
"06/10/2025","9,796.16","9,748.13","9,796.16","9,746.35","299.89M","0.49%"
"06/09/2025","9,748.13","9,734.99","9,761.15","9,731.65","371.07M","0.13%"
"06/04/2025","9,734.99","9,691.49","9,734.99","9,682.00","247.38M","0.45%"
"06/03/2025","9,691.49","9,647.05","9,691.49","9,647.05","323.40M","0.46%"
"06/02/2025","9,647.05","9,685.10","9,685.10","9,647.05","334.09M","-0.39%"
"05/30/2025","9,685.10","9,745.33","9,745.42","9,685.10","208.90M","-0.62%"
"05/29/2025","9,745.33","9,743.45","9,763.46","9,718.90","291.59M","0.02%"
"05/28/2025","9,743.45","9,673.97","9,746.60","9,673.97","286.49M","0.72%"
"05/27/2025","9,673.97","9,658.82","9,683.21","9,657.15","180.74M","0.16%"
"05/26/2025","9,658.82","9,665.34","9,688.51","9,639.48","168.10M","-0.07%"
"05/23/2025","9,665.34","9,667.26","9,688.96","9,651.94","210.16M","-0.02%"
"05/22/2025","9,667.26","9,666.47","9,677.48","9,645.27","240.92M","0.01%"
"05/21/2025","9,666.47","9,707.02","9,721.29","9,655.78","232.17M","-0.42%"
"05/20/2025","9,707.02","9,665.74","9,711.05","9,665.37","237.96M","0.43%"
"05/19/2025","9,665.74","9,654.22","9,667.66","9,639.48","237.78M","0.12%"
"05/16/2025","9,654.22","9,625.19","9,655.55","9,623.16","255.91M","0.30%"
"05/15/2025","9,625.19","9,621.25","9,633.13","9,609.18","339.27M","0.04%"
"05/14/2025","9,621.25","9,631.48","9,645.51","9,615.36","405.10M","-0.11%"
"05/13/2025","9,631.48","9,638.98","9,682.12","9,631.48","293.81M","-0.08%"
"05/12/2025","9,638.98","9,625.97","9,672.20","9,625.97","233.21M","0.14%"
"05/09/2025","9,625.97","9,633.73","9,651.18","9,619.38","201.92M","-0.08%"
"05/08/2025","9,633.73","9,610.99","9,657.24","9,610.99","362.35M","0.24%"
"05/07/2025","9,610.99","9,623.37","9,637.98","9,591.82","328.51M","-0.13%"
"05/06/2025","9,623.37","9,565.92","9,623.37","9,555.48","264.34M","0.60%"
"05/05/2025","9,565.92","9,579.10","9,579.10","9,549.76","300.25M","-0.14%"
"05/02/2025","9,579.10","9,555.97","9,583.26","9,548.11","221.04M","0.24%"
"05/01/2025","9,555.97","9,534.33","9,584.34","9,529.56","303.66M","0.23%"
"04/30/2025","9,534.33","9,527.50","9,570.40","9,496.64","273.67M","0.07%"
"04/29/2025","9,527.50","9,467.67","9,555.36","9,467.67","703.16M","0.63%"
"04/28/2025","9,467.67","9,411.53","9,475.81","9,402.50","382.10M","0.81%"
"04/25/2025","9,391.83","9,424.93","9,446.29","9,391.83","388.20M","-0.35%"
"04/24/2025","9,424.93","9,324.13","9,424.93","9,313.33","503.46M","1.08%"
"04/23/2025","9,324.13","9,256.62","9,324.13","9,256.62","284.04M","0.73%"
"04/22/2025","9,256.62","9,272.26","9,272.26","9,239.98","206.24M","-0.17%"
"04/21/2025","9,272.26","9,277.65","9,291.23","9,258.03","214.09M","-0.06%"
"04/18/2025","9,277.65","9,259.23","9,277.94","9,256.15","148.44M","0.20%"
"04/17/2025","9,259.23","9,260.51","9,274.64","9,249.84","286.60M","-0.01%"
"04/16/2025","9,260.51","9,290.26","9,292.40","9,242.90","243.36M","-0.32%"
"04/15/2025","9,290.26","9,236.80","9,290.26","9,224.63","383.29M","0.58%"
"04/14/2025","9,236.80","9,157.88","9,236.80","9,157.88","700.33M","0.86%"
"04/11/2025","9,157.88","9,124.85","9,157.88","9,107.55","183.45M","0.36%"
"04/10/2025","9,124.85","9,065.76","9,264.35","9,065.76","424.22M","0.65%"
"04/09/2025","9,065.76","8,989.10","9,092.72","8,989.10","377.62M","-3.23%"
"03/28/2025","9,368.81","9,390.48","9,399.15","9,362.60","342.85M","-0.23%"
"03/27/2025","9,390.48","9,373.72","9,394.68","9,360.55","279.95M","0.18%"
"03/26/2025","9,373.72","9,342.42","9,378.47","9,335.50","256.42M","0.34%"
"03/25/2025","9,342.42","9,369.83","9,383.51","9,332.68","264.98M","-0.29%"
"03/24/2025","9,369.83","9,368.43","9,385.17","9,362.27","264.17M","0.01%"
"03/21/2025","9,368.43","9,368.07","9,389.53","9,343.88","572.91M","0.00%"
"03/20/2025","9,368.07","9,437.71","9,437.71","9,366.23","224.10M","-1.73%"
"03/06/2025","9,532.94","9,556.58","9,570.69","9,509.88","302.32M","-0.25%"
"03/05/2025","9,556.58","9,591.34","9,594.66","9,556.58","264.12M","-0.36%"
"03/04/2025","9,591.34","9,560.30","9,591.94","9,557.32","253.65M","0.32%"
"03/03/2025","9,560.30","9,564.62","9,579.48","9,557.02","174.77M","-0.05%"
"02/28/2025","9,564.62","9,612.67","9,625.24","9,562.66","556.65M","-0.50%"
"02/27/2025","9,612.67","9,642.93","9,646.52","9,599.62","265.93M","-0.31%"
"02/26/2025","9,642.93","9,611.59","9,642.93","9,601.38","277.69M","0.33%"
"02/25/2025","9,611.59","9,595.09","9,611.59","9,590.56","322.06M","0.17%"
"02/24/2025","9,595.09","9,618.34","9,644.51","9,595.09","3.52B","-0.24%"
"02/21/2025","9,618.34","9,619.72","9,637.70","9,618.34","292.41M","-0.01%"
"02/20/2025","9,619.72","9,592.97","9,655.70","9,592.97","288.70M","0.28%"
"02/19/2025","9,592.97","9,618.97","9,618.97","9,579.55","329.60M","-0.27%"
"02/18/2025","9,618.97","9,556.85","9,618.97","9,547.53","348.50M","0.65%"
"02/17/2025","9,556.85","9,625.68","9,636.39","9,556.85","269.34M","-0.72%"
"02/14/2025","9,625.68","9,658.73","9,671.44","9,622.65","230.92M","-0.34%"
"02/13/2025","9,658.73","9,659.00","9,670.43","9,645.27","352.88M","0.00%"
"02/12/2025","9,659.00","9,639.08","9,662.52","9,631.68","318.16M","0.21%"
"02/11/2025","9,639.08","9,631.19","9,659.35","9,625.25","353.36M","0.08%"
"02/10/2025","9,631.19","9,586.14","9,631.19","9,577.14","279.93M","0.47%"
"02/07/2025","9,586.14","9,563.32","9,591.33","9,555.64","186.25M","0.24%"
"02/06/2025","9,563.32","9,584.85","9,586.29","9,542.13","210.47M","-0.22%"
"02/05/2025","9,584.85","9,584.51","9,597.06","9,571.59","263.42M","0.00%"
"02/04/2025","9,584.51","9,575.84","9,609.38","9,566.64","222.30M","0.09%"
"02/03/2025","9,575.84","9,586.12","9,586.12","9,524.20","237.25M","-0.11%"
"01/31/2025","9,586.12","9,583.60","9,610.38","9,570.65","201.28M","0.03%"
"01/30/2025","9,583.60","9,568.53","9,594.36","9,558.95","192.42M","0.16%"
"01/29/2025","9,568.53","9,549.68","9,578.57","9,520.57","195.82M","0.20%"
"01/28/2025","9,549.68","9,552.57","9,583.90","9,547.91","186.76M","-0.03%"
"01/27/2025","9,552.57","9,563.94","9,586.03","9,546.07","191.03M","-0.12%"
"01/24/2025","9,563.94","9,542.87","9,577.42","9,535.29","185.59M","0.22%"
